Outer fold,test_data_size,n_hidden_units,ANN_test_error,lambda,Linear_test_error,baseline_test_error
1,52.0,1.0,160.6999969482422,164,193.2,193.79999999999998
2,52.0,1.0,184.59999084472656,164,216.7,210.4
3,52.0,1.0,157.29998779296875,164,196.4,197.6
4,52.0,1.0,174.1999969482422,164,190.39999999999998,192.6
5,52.0,1.0,144.59999084472656,164,177.1,174.0
6,52.0,1.0,195.29998779296875,164,217.89999999999998,222.5
7,52.0,1.0,157.1999969482422,164,200.3,200.4
8,51.0,1.0,119.5999984741211,167,169.70000000000002,174.8
9,51.0,1.0,169.6999969482422,167,206.1,203.39999999999998
10,51.0,1.0,153.90000915527344,167,237.9,183.20000000000002
11,,,161.8,,200.5,195.3
